source_node,target_node,weight
a_001002,a_001251,1510437
a_001009,n_001149,695149452
a_001009,a_001265,1251801999
a_001009,a_001139,11265264
a_001009,a_001054,23340339
a_001009,a_001272,521857107
a_001009,n_001277,368706708
a_001009,a_001234,35944074
a_001009,a_001193,11813148
a_001009,a_001273,67411359
a_001009,a_001268,62569314
a_001009,a_001271,50133789
a_001009,a_00999,31162104
a_001009,a_001136,953991
a_001009,a_001270,33041250
a_001009,a_001264,35893611
a_001009,a_001278,210005379
a_001009,a_001280,556150320
a_001009,a_001281,513095769
a_001009,a_001135,4267728
a_001011,a_001170,1457808
a_001011,a_001280,28004240
a_001011,a_001268,3150598
a_001011,a_001225,338437
a_001011,a_001019,171941
a_001011,a_001281,25836283
a_001011,a_001054,1175273
a_001011,n_00824,49852
a_001014,a_001222,117702612
a_001014,a_001244,77351274
a_001014,a_001265,496970082
a_001014,a_001041,122136804
a_001014,a_001281,203700942
a_001014,n_00374,764154
a_001019,a_00372,2385859
a_001019,a_00821,1415316
a_001029,n_00843,9113280
a_001029,a_00931,44422400
a_001029,n_00955,5184960
a_001029,a_001281,751600960
a_001040,n_001277,98659348
a_001040,a_001155,1554131
a_001040,a_001271,13414909
a_001040,n_00701,2803480
a_001040,a_001247,5766424
a_001041,a_001281,27336495598
a_001041,a_00931,1615688120
a_001041,a_001251,472800018
a_001041,a_00799,14851016
a_001049,a_001222,116468832
a_001050,n_001237,2894550
a_001050,a_001281,147330870
a_001050,a_001268,17966220
a_001050,a_00662,3449310
a_001050,a_001247,6187920
a_001050,n_00666,1062600
a_001050,n_00697,7795620
a_001050,a_00952,20304630
a_001050,a_001134,2327370
a_001050,a_001270,9487500
a_001050,n_00383,14152590
a_001050,n_00617,20962890
a_001050,a_001084,1254420
a_001050,a_001002,282210
a_001050,a_001187,5090130
a_001050,a_00900,825240
a_001050,a_00865,1121250
a_001050,n_00659,14699760
a_001050,a_001178,2850390
a_001050,a_00817,511980
a_001050,n_00760,586500
a_001050,a_001271,14395470
a_001051,a_001271,14833593
a_001051,a_001280,164553840
a_001051,n_001277,109092996
a_001051,a_001136,282267
a_001051,a_001278,62136423
a_001051,a_00972,168507
a_001051,a_001139,3333168
a_001051,a_001126,2883816
a_001051,a_001054,6905943
a_001051,a_001281,151814853
a_001051,a_001273,19945683
a_001051,a_001268,18513018
a_001051,a_001264,10620207
a_001051,a_001073,364032
a_001054,a_001281,2073948899
a_001054,n_00824,4001756
a_001061,n_001210,23557326
a_001061,n_001245,42496233
a_001063,a_001273,10463769
a_001067,a_001217,449198370
a_001067,n_001195,50166600
a_001067,a_001005,9328500
a_001067,a_001251,76555890
a_001067,n_001188,1187061990
a_001067,a_001268,539767740
a_001067,n_001230,144239340
a_001067,a_00447,56572170
a_001067,a_001110,52965150
a_001081,a_001280,82392640
a_001081,a_001273,9986868
a_001083,n_00441,1816372
a_001083,n_00465,1477170
a_001083,n_00413,15056192
a_001083,a_001222,675001038
a_001091,a_001272,649552479
a_001094,a_001061,703495
a_001094,a_001041,87697810
a_001094,a_001167,5814280
a_001094,n_001113,21883695
a_001094,a_001281,146263255
a_001094,a_00917,2426955
a_001094,n_001277,105103660
a_001094,a_00943,4486065
a_001094,n_001189,880225
a_001094,n_00416,592525
a_001094,a_001280,158536400
a_001094,a_001273,19216305
a_001094,a_001143,6030740
a_001094,a_001102,4646355
a_001094,a_001244,55540485
a_001094,p_00673,3177715
a_001094,a_001238,2185150
a_001094,n_001195,1657700
a_001094,n_001188,39225155
a_001094,a_00432,63705
a_001094,a_001011,82885
a_001094,a_001224,3853810
a_001094,a_001014,653490
a_001094,a_001005,308250
a_001094,a_001225,1915945
a_001094,a_00818,291125
a_001094,a_001251,2529705
a_001094,a_001067,14200050
a_001094,a_001217,14843265
a_001094,a_001215,6620525
a_001100,n_001240,40114290
a_001100,p_001279,300994605
a_001100,n_001236,73662480
a_001100,p_001259,296615169
a_001102,a_001249,3636061065
a_001102,a_001273,190283499
a_001102,a_001281,1448326509
a_001102,n_001277,1040756388
a_001102,a_001280,1569857520
a_001102,n_00431,1614354
a_001102,n_00430,291669
a_001107,a_001242,11839827
a_001107,a_001281,300853907
a_001112,a_001247,210819744
a_001117,a_001198,89154252
a_001117,a_001134,8540436
a_001118,n_00699,254443000
a_001124,a_001217,250125267
a_001124,a_00930,15883168
a_001124,n_001277,1771111748
a_001124,a_001272,2506781767
a_001126,n_00796,10375248
a_001126,a_00998,33818928
a_001126,a_00890,3224520
a_001126,a_001123,4222296
a_001126,n_00985,1533168
a_001126,a_00504,9300408
a_001126,a_001270,55770000
a_001126,a_001264,60584472
a_001126,a_001193,19939296
a_001126,a_001271,84620328
a_001126,a_001281,866049288
a_001126,n_00968,11579880
a_001126,a_001191,13137384
a_001126,a_001280,938720640
a_001126,a_001234,60669648
a_001126,a_001278,354466008
a_001126,n_001277,622336416
a_001130,n_00605,6909826
a_001130,a_00537,7293252
a_001130,n_00745,3671100
a_001130,a_00704,3393728
a_001130,n_00806,7709310
a_001130,a_00908,15051510
a_001130,a_001281,1741920634
a_001130,a_001247,73160944
a_001130,a_001238,26024020
a_001130,n_00633,15916258
a_001130,n_00499,46810604
a_001130,n_001245,337569882
a_001130,a_00815,64872416
a_001131,n_001144,25487318
a_001131,n_001196,268571400
a_001131,p_001159,7480091
a_001131,n_001204,16723693
a_001131,n_001163,34072974
a_001131,n_001190,78209286
a_001131,n_001219,14825357
a_001131,n_001192,9259781
a_001131,n_001212,461322613
a_001131,n_001182,155776805
a_001134,a_001268,87826174
a_001134,a_001281,720213079
a_001134,a_001271,70370899
a_001134,a_001264,50382501
a_001134,a_001280,780647120
a_001134,a_001270,46378750
a_001134,a_001152,2732130
a_001134,a_00954,7555520
a_001134,a_001247,30249064
a_001134,a_001193,16581668
a_001135,a_001273,49822128
a_001135,a_001281,379216848
a_001135,a_001280,411037440
a_001136,a_001249,212813835
a_001136,a_001100,606219
a_001136,a_001270,5458750
a_001136,a_001268,10337086
a_001136,a_001271,8282611
a_001136,a_001242,3335991
a_001136,a_001009,953991
a_001136,n_00700,9528
a_001136,n_00801,111160
a_001136,a_001073,203264
a_001136,a_001193,1951652
a_001136,n_001058,5369028
a_001136,a_001281,84768631
a_001136,n_001209,27290971
a_001136,n_001277,60914092
a_001136,a_001278,34695021
a_001136,a_001264,5929989
a_001136,a_001273,11137041
a_001136,n_001085,1438728
a_001136,a_001117,1005204
a_001136,a_001280,91881680
a_001143,a_001170,106070592
a_001152,a_001247,7264080
a_001153,a_001155,4797745
a_001153,a_001191,6429415
a_001153,a_001173,6147545
a_001153,n_001277,304570460
a_001155,n_001277,370854812
a_001170,a_001167,102263424
a_001170,a_00513,19710528
a_001173,a_001191,10031183
a_001173,n_001277,475191292
a_001178,n_00500,805545
a_001178,a_00508,12768921
a_001178,n_00484,119799
a_001178,a_00828,7976961
a_001178,a_001124,47684133
a_001178,a_00618,136062747
a_001178,n_00766,10612539
a_001178,n_00485,258501456
a_001178,a_001244,334945611
a_001178,a_00848,9327798
a_001178,n_001046,1863081
a_001178,a_001265,2151974223
a_001178,a_00753,206550
a_001178,n_001245,170936649
a_001178,n_001055,410790771
a_001178,a_001264,61704747
a_001178,a_001280,956078640
a_001178,a_001187,30474387
a_001178,n_001277,633844116
a_001178,a_001278,361020483
a_001178,a_001242,34712793
a_001178,a_001268,107562978
a_001178,n_00774,38087820
a_001178,a_001251,15255783
a_001178,a_001281,882063513
a_001178,a_001271,86185053
a_001187,a_001222,910159506
a_001187,n_001232,687211812
a_001187,n_001113,235673019
a_001187,a_001224,41503002
a_001187,a_001251,27243261
a_001187,n_00494,524880927
a_001187,n_001237,30946515
a_001187,a_001135,13101552
a_001187,a_001280,1707332880
a_001187,a_001270,101433750
a_001187,a_001264,110190249
a_001187,n_001277,1131897372
a_001187,a_001244,598134537
a_001187,a_00972,1748349
a_001187,a_001281,1575159171
a_001191,a_001173,10031183
a_001191,n_001277,496979204
a_001193,n_001277,754291376
a_001193,n_00700,117984
a_001193,a_001073,2516992
a_001193,a_001278,429623988
a_001193,n_00801,1376480
a_001198,n_00903,133344057
a_001198,n_00793,81055722
a_001198,n_001032,545312757
a_001198,n_00639,89400729
a_001198,n_00994,315314505
a_001198,n_00579,392426595
a_001198,a_001271,734607093
a_001198,a_001178,145456641
a_001198,a_001238,112323090
a_001198,n_001048,52816500
a_001198,n_00794,89650832733
a_001198,n_00718,101084161332
a_001198,a_001136,13978767
a_001198,a_001139,165069168
a_001198,n_001085,127604664
a_001198,a_001268,916824018
a_001198,a_001100,53767197
a_001198,n_001235,38605199556
a_001198,n_00607,61548828
a_001198,n_00663,9401337
a_001198,n_00759,1696923723
a_001198,n_001047,88133133
a_001198,n_001057,629607891
a_001198,n_00962,18122151003
a_001198,n_00510,36654651
a_001198,a_001124,406440573
a_001198,a_001173,109048467
a_001198,a_001153,69893835
a_001198,a_001155,85104987
a_001198,a_001278,3077194923
a_001198,n_001245,1456995969
a_001198,n_001025,20281536
a_001198,a_001273,987774183
a_001205,p_001092,237162
a_001205,p_001185,930929
a_001205,a_00886,62698
a_001205,n_00664,5879982
a_001205,a_001244,110513403
a_001205,n_001089,1138105
a_001205,n_001106,686952
a_001205,n_001207,294408
a_001205,n_001186,449790
a_001205,a_001281,291031849
a_001205,p_001160,1549731
a_001205,p_001220,1063140
a_001205,n_001250,10998047
a_001205,n_001103,3546526
a_001205,p_001262,5784572
a_001205,p_001276,14638620
a_001205,p_001150,854601
a_001205,p_001169,189457
a_001205,n_001074,457968
a_001205,n_001228,1184447
a_001205,p_001211,635158
a_001205,p_001267,50839900
a_001205,p_001165,890039
a_001205,p_001258,4144883
a_001205,p_001253,2019966
a_001205,p_001214,5577396
a_001205,p_001279,268667745
a_001205,n_001256,11878545
a_001205,p_001255,1045421
a_001205,n_001227,4024939
a_001205,p_001260,21198739
a_001205,n_001090,695130
a_001205,p_001241,3640573
a_001205,p_001254,23732556
a_001206,n_001235,20707631252
a_001206,n_00939,57869768
a_001206,n_001141,882022900
a_001206,n_001202,644254457
a_00121,n_00212,2211083275
a_00121,n_001291,53843108
a_001215,a_00520,3363420
a_001215,n_00531,175352095
a_001215,n_00529,14246210
a_001215,a_00762,4262265
a_001215,a_00957,16846095
a_001215,a_001005,4349250
a_001215,a_00521,17010400
a_001215,a_00997,20509130
a_001215,a_001014,9220410
a_001215,a_00945,6011630
a_001215,a_00805,28154145
a_001215,n_00985,3653370
a_001215,n_00810,39829465
a_001215,n_00518,3827340
a_001215,a_001112,227204820
a_001215,a_00861,62165280
a_001215,a_00528,56627235
a_001215,a_00782,128273880
a_001215,n_00525,7751330
a_001215,n_00622,15338355
a_001215,a_00833,10061265
a_001215,a_001049,9123760
a_001215,a_00527,2242280
a_001215,a_00811,5248095
a_001215,a_00784,9674665
a_001215,n_00526,3653370
a_001215,n_00519,3131460
a_001215,n_001232,900352740
a_001215,a_00923,60551225
a_001215,a_001094,6620525
a_001215,a_00816,33083295
a_001215,n_00641,16962075
a_001215,a_00738,3701695
a_001215,n_00879,17822260
a_001215,a_00739,6146940
a_001215,n_00953,6079285
a_001215,a_00976,61624040
a_001215,a_001129,780729035
a_001215,n_001113,308767755
a_001215,a_001102,65557695
a_001215,a_00998,80586770
a_001215,a_001067,200355450
a_001215,n_00903,36601355
a_001215,n_00763,744205
a_001215,n_00806,9133425
a_001215,a_001143,85090660
a_001215,a_00931,121972300
a_001215,n_00602,6407895
a_001215,n_00570,71704635
a_001215,n_00585,89739525
a_001215,n_00619,11588335
a_001215,n_001230,67249070
a_001215,n_00955,14236545
a_001215,n_001188,553446895
a_001215,a_001217,209430885
a_001215,a_00765,10902120
a_001215,n_00522,2425915
a_001215,n_00530,560570
a_001215,n_001210,221695770
a_001215,a_001097,8601850
a_001215,a_001125,122049620
a_001217,a_00545,3445371
a_001217,a_00957,37769067
a_001217,n_00538,18917037
a_001217,a_001001,450130137
a_001217,n_00543,3380364
a_001217,n_00542,2838639
a_001217,n_00541,121368069
a_001217,n_00540,4225455
a_001217,a_00773,26392842
a_001217,a_001269,2460731640
a_001217,n_001164,85744233
a_001217,n_00539,5352243
a_001217,n_001232,2018597364
a_001217,n_001113,692259543
a_001217,n_001195,52438980
a_001217,n_00911,33998661
a_001217,a_00762,9556029
a_001217,a_00950,27497961
a_001217,a_001014,20672226
a_001217,a_001005,9751050
a_001217,a_001061,22254063
a_001217,a_001094,14843265
a_001217,a_001129,1750400151
a_001217,n_00878,11831274
a_001217,n_00879,39957636
a_001217,a_001102,146980827
a_001217,n_00788,27432954
a_001217,a_00945,13478118
a_001217,a_001251,80023617
a_001217,a_00816,74172987
a_001217,a_00658,268045530
a_001217,a_00778,50207073
a_001217,n_00763,1668513
a_001217,n_00573,1278471
a_001217,n_001137,99959097
a_001217,n_001210,497043522
a_001217,a_00780,77336661
a_001217,n_001245,896641551
a_001217,a_001143,190773876
a_001217,n_00544,20780571
a_001217,a_001198,762987159
a_001217,a_001268,564217422
a_001217,n_00777,5980644
a_001217,a_001178,89514639
a_001217,a_001215,209430885
a_001217,n_001188,1240831947
a_001217,n_001230,150772902
a_001222,a_00608,171742176
a_001222,n_00551,401965524
a_001222,n_00555,52682406
a_001222,n_00554,14018208360
a_001222,a_00997,261808116
a_001222,a_00557,188274828
a_001222,a_00854,226645386
a_001222,n_00990,120293550
a_001222,a_00561,47500530
a_001222,n_00550,37506912
a_001222,n_00591,471797472
a_001222,n_001113,3941556966
a_001222,n_00609,18383322
a_001222,a_00552,3701340
a_001222,a_00931,1557030360
a_001222,a_00559,16039140
a_001222,n_00546,23441820
a_001222,n_00553,431576244
a_001222,n_00810,508440738
a_001222,a_00784,123501378
a_001222,a_00565,149657514
a_001222,a_00782,1637472816
a_001222,a_00567,15545628
a_001222,n_00560,27266538
a_001222,n_00656,47747286
a_001222,n_00562,18876834
a_001222,a_00558,885607284
a_001222,a_00923,772963170
a_001222,a_00811,66994254
a_001222,a_00566,554830866
a_001222,a_001049,116468832
a_001222,n_00577,143488614
a_001222,a_001112,2900370024
a_001222,a_00765,139170384
a_001222,n_00556,21714528
a_001222,a_001217,2673477882
a_001222,n_00587,75013824
a_001224,n_001232,524095656
a_001224,n_001164,22262082
a_001224,n_00788,7122516
a_001224,a_00945,3499372
a_001224,a_00780,20079194
a_001224,a_001041,720274276
a_001224,n_001188,322161638
a_001224,a_001215,54375290
a_001224,a_001217,121909794
a_001224,n_00830,2424806
a_001224,n_001230,39145708
a_001224,n_001032,87129862
a_001224,n_00734,31156788
a_001224,n_001235,6168323896
a_001224,a_001269,638888560
a_001224,n_00822,6976240
a_001224,n_00907,8686544
a_001224,a_001061,5777902
a_001224,n_001210,129049188
a_001224,a_001002,2301034
a_001224,n_00916,229720832
a_001224,n_001048,8439000
a_001224,a_001271,117375238
a_001224,n_001245,232798254
a_001224,n_00824,2317912
a_001224,a_001198,198097086
a_001224,a_001125,71045128
a_001224,n_00844,3673778
a_001224,n_00536,6379884
a_001224,n_00850,33283416
a_001224,a_001024,7955164
a_001224,n_001037,62409218
a_001224,a_001050,3881940
a_001224,n_00535,1732808
a_001224,n_001070,22987836
a_001224,a_001270,77357500
a_001224,a_001268,146489788
a_001224,n_001237,23601070
a_001224,a_001178,23241006
a_001224,a_001238,17946940
a_001224,a_001251,20776818
a_001234,a_001269,1698630480
a_001234,a_00849,141308226
a_001234,n_001235,16399891368
a_001234,n_00677,3455298
a_001234,a_001028,16468758
a_001234,n_001066,230427990
a_001234,n_001277,2295095688
a_001234,a_00728,4666896
a_001234,a_001264,223427646
a_001234,a_001280,3461879520
a_001234,a_001273,419616774
a_001234,a_001281,3193877034
a_001234,n_00927,259371720
a_001238,a_00866,1907620
a_001238,a_001094,2185150
a_001238,n_001195,7719800
a_001238,n_001188,182668970
a_001238,a_001217,69124110
a_001238,n_001045,4399010
a_001238,n_00969,3078350
a_001238,n_00989,11407440
a_001238,a_001040,2051170
a_001238,n_00748,16272190
a_001238,n_00624,2714690
a_001238,n_00613,1786400
a_001238,a_001198,112323090
a_001238,a_001136,1266430
a_001238,a_00855,3799290
a_001238,n_001079,36404280
a_001238,n_001245,131999010
a_001238,a_001247,28607920
a_001238,p_001275,58383380
a_001238,a_001130,26024020
a_001238,n_00698,1394030
a_001238,a_001244,258648390
a_001238,n_00862,1342990
a_001238,n_00751,1100550
a_001238,n_00612,4322450
a_001238,a_001271,66552970
a_001238,a_001002,1304710
a_001238,a_001178,13177890
a_001238,a_00936,829400
a_001238,a_001003,937860
a_001238,n_001070,13034340
a_001238,n_00766,8195110
a_001238,p_001262,13538360
a_001238,n_00614,290290
a_001238,a_001004,5442140
a_001238,a_00670,274340
a_001238,a_001124,36822170
a_001238,a_001152,2583900
a_001238,a_001011,385990
a_001238,a_001050,2201100
a_001238,a_001270,43862500
a_001238,a_001187,23532630
a_001238,a_001153,6332150
a_001238,a_001173,9879430
a_001238,a_001278,278783670
a_001238,a_00741,341330
a_001238,a_001225,8922430
a_001238,n_00795,210747350
a_001238,a_001273,89489070
a_001238,a_001268,83061220
a_001238,a_001251,11780670
a_001242,n_00642,1403301
a_001242,n_00781,76921062
a_001242,n_00927,145708020
a_001242,a_001264,125515611
a_001242,n_00977,2817971259
a_001247,a_00954,20088320
a_001247,a_001040,5766424
a_001247,a_001130,73160944
a_001247,n_001230,62399344
a_001247,a_001004,15299408
a_001247,a_001224,50453968
a_001247,a_001271,187099384
a_001247,a_001238,28607920
a_001247,a_001251,33118824
a_001247,a_001152,7264080
a_001247,a_001008,19819280
a_001247,a_001278,783740424
a_001247,a_001273,251579304
a_001247,n_001052,46436304
a_001247,a_001091,26823288
a_001247,p_001263,9108788632
a_001247,a_001270,123310000
a_001247,a_001242,75358104
a_001247,a_001281,1914874264
a_001247,n_001277,1376014048
a_001247,a_001280,2075553920
a_001247,a_001264,133955016
a_001247,a_001272,1947571592
a_001249,a_001249,287354963025
a_001251,a_001049,3486192
a_001251,a_001112,86815044
a_001251,n_001232,344025108
a_001251,a_00693,838311
a_001251,a_001129,298316847
a_001251,a_00854,6784041
a_001251,a_001094,2529705
a_001251,a_001005,1661850
a_001251,a_00694,613038
a_001251,n_00953,2322897
a_001251,n_001113,117980271
a_001251,a_001102,25049619
a_001251,n_00711,254817
a_001251,a_001067,76555890
a_001251,n_00911,5794317
a_001251,n_00678,22926144
a_001251,a_001143,32513172
a_001251,n_00679,579801
a_001251,a_001097,3286770
a_001251,n_00681,6137766
a_001251,a_00713,8246469
a_001251,n_001230,25695894
a_001251,n_00682,472704
a_001251,n_00716,2304432
a_001251,n_00684,8752410
a_001251,a_001217,80023617
a_001251,a_00943,24185457
a_001251,n_00712,12153663
a_001251,n_00685,302826
a_001251,n_00683,1647078
a_001251,n_00680,210648720
a_001251,n_00907,5701992
a_001251,a_00799,428388
a_001251,n_001188,211472259
a_001251,n_00686,27553473
a_001251,n_00688,3833334
a_001251,n_001210,84710034
a_001251,n_00689,465318
a_001251,n_00687,1329480
a_001251,a_001110,9435615
a_001251,a_001125,46635204
a_001251,n_00723,3774246
a_001251,n_00955,5439789
a_001251,n_00850,21847788
a_001251,n_00948,672968004
a_001251,n_00690,243738
a_001251,n_00783,2429994
a_001264,a_001251,55162341
a_001264,a_001269,1696245720
a_001264,a_001278,1305389241
a_001264,a_001247,133955016
a_001264,a_001135,26528112
a_001264,a_001268,388929606
a_001264,a_001281,3189393051
a_001264,a_001273,419027661
a_001264,a_001100,22808799
a_001264,a_001225,41778789
a_001264,a_001270,205383750
a_001264,a_001152,12098970
a_001265,a_00827,440709318
a_001265,n_001015,4474293537
a_001265,n_001088,7364441281526
a_001265,n_00808,3225096203
a_001265,n_00906,4444600356
a_001265,a_001278,45525897669
a_001265,a_001273,14613733449
a_001265,n_00825,122696391356
a_001265,n_00813,1470072926
a_001265,n_001174,422953316695
a_001265,n_001149,150697581972
a_001265,a_00929,2249909627
a_001265,n_00809,841827728
a_001265,n_00787,341211115
a_001265,n_00942,1622185362
a_001265,n_001095,206098285589
a_001265,a_00975,511035273
a_001265,n_00786,719929406
a_001265,n_00851,1039782268
a_001268,n_00971,13019000
a_001268,a_001251,96158334
a_001268,a_00972,6171006
a_001268,a_001126,105610128
a_001268,a_001139,122066144
a_001268,a_001136,10337086
a_001268,a_001278,2275538934
a_001268,a_001273,730444014
a_001268,n_001277,3995166568
a_001268,a_001280,6026234720
a_001268,a_001281,5559711874
a_001271,a_001123,21718383
a_001271,a_00890,16586085
a_001271,n_00985,7886214
a_001271,a_00976,133022488
a_001271,a_001040,13414909
a_001271,n_00814,135859856
a_001271,a_001224,117375238
a_001271,a_001247,187099384
a_001271,n_00820,533758992
a_001271,a_001234,312068754
a_001271,a_001051,14833593
a_001271,a_001136,8282611
a_001271,n_001010,464848503
a_001271,a_001264,311630631
a_001271,n_001066,321394515
a_001271,a_00863,17691824
a_001271,n_00868,11933636
a_001271,a_001273,585269739
a_001271,a_001193,102562508
a_001271,a_001270,286866250
a_001271,a_001242,175311789
a_001271,a_001003,6133722
a_001271,a_001117,52825116
a_001271,a_00959,29771501
a_001271,n_001277,3201135268
a_001271,a_001281,4454730349
a_001271,a_001278,1823280159
a_001271,a_001280,4828532720
a_001272,n_00983,225421422
a_001272,n_001180,2987376764
a_001272,a_001222,26793876882
a_001272,a_001125,2742410132
a_001272,a_001112,5105208852
a_001272,a_001123,226072929
a_001272,n_00969,209568085
a_001272,a_001007,224335577
a_001272,a_001269,24661711640
a_001272,n_001223,738157431
a_001272,a_001281,46370576387
a_001272,a_001091,649552479
a_001273,n_001048,42079500
a_001273,a_001281,5989960719
a_001273,a_001278,2451635829
a_001273,n_00897,3587389587
a_001273,a_001063,10463769
a_001273,a_001081,9986868
a_001278,n_001006,28833572490
a_001278,a_001265,45525897669
a_001278,a_001167,741791784
a_001278,a_001269,9924349080
a_001278,a_001244,7085911833
a_001278,a_001224,491673018
a_001278,a_001270,1201653750
a_001278,n_001209,6007656999
a_001280,n_001013,31707280
a_001281,n_001195,516725660
a_001281,a_001215,2063699795
a_001281,a_001271,4454730349
a_001281,n_001137,984981599
a_001281,a_001278,18660415539
a_001281,n_001230,1485693034
a_001281,a_001268,5559711874
a_001281,n_001237,895728985
a_001292,n_001301,744
a_001293,a_001198,4154898
a_001293,n_001245,4882722
a_001293,a_001238,376420
a_001293,a_001170,1421664
a_001293,a_001224,663868
a_001293,a_001187,870486
a_001293,a_001251,435774
a_001293,a_001107,166262
a_001293,a_00387,174522
a_001293,a_001054,1146134
a_001293,a_001124,1362074
a_001293,n_00864,57584
a_001293,n_001210,2706684
a_001293,a_001268,3072484
a_001293,a_001244,9567558
a_001293,a_001215,1140470
a_001293,a_001125,1490104
a_001293,n_001277,18105448
a_001293,a_001281,25195714
a_001293,a_001280,27309920
a_001293,a_001271,2461834
a_001294,a_001251,705363
a_001319,n_001309,264201
a_001319,n_001307,1452285
a_001319,n_00417,26034465
a_001319,n_00606,2812674
a_001319,n_001306,551376
a_001319,n_00461,6903687
a_001319,n_001308,1204494
a_00148,a_00237,3790300
a_00149,n_001277,145303892
a_00149,a_00203,246220
a_00149,a_00668,11417032
a_00149,a_001264,14145339
a_00154,n_00380,116523693
a_00154,a_001324,138164961
a_00175,a_001051,129402
a_00175,a_001238,580580
a_00175,n_00745,81900
a_00175,a_00537,162708
a_00175,n_00806,171990
a_00175,a_00704,75712
a_00175,a_001264,2718534
a_00175,a_00462,259350
a_00175,a_001130,1484756
a_00175,n_001245,7530978
a_00175,a_001198,6408402
a_00175,a_00143,732186
a_00175,a_001281,38861186
a_00175,a_001244,14756742
a_00189,n_00142,27848186
a_00189,n_00570,10290153
a_00205,n_00577,3639027
a_00207,a_001249,4699058130
a_00207,a_001269,995466960
a_00207,a_001272,1903703454
a_00207,a_001173,27148302
a_00207,a_001091,26219106
a_00207,a_001270,120532500
a_00207,a_001264,130937742
a_00207,a_001273,245912598
a_00207,a_001280,2028803040
a_00207,a_001054,85144158
a_00237,a_001067,270941100
a_00237,a_001270,179712500
a_00237,n_001230,90941060
a_00237,a_001217,283213830
a_00237,a_001139,61272160
a_00237,a_001198,460207770
a_00237,a_001271,272679410
a_00237,a_001130,106625060
a_00237,a_001280,3024920800
a_00237,a_00668,157571920
a_00305,n_00850,3786240
a_00305,n_001277,98199040
a_00305,a_001155,1546880
a_00307,a_001268,24033074
a_00307,a_001234,13806234
a_00307,n_001048,1384500
a_00307,a_001249,494778765
a_00307,n_00744,14214200
a_00307,a_00931,11648260
a_00307,n_00793,2124746
a_00307,a_00999,11969464
a_00307,a_00815,7339696
a_00307,n_00500,179985
a_00307,a_001280,213619120
a_00307,a_001281,197081729
a_00307,n_001277,141621428
a_00307,n_00581,6848660
a_00307,n_00974,7806734
a_00328,n_001076,21110600
a_00328,a_001268,17705840
a_00328,n_001245,28137720
a_00328,a_001191,2202520
a_00328,a_00848,1535440
a_00328,n_00968,1941400
a_00328,a_001271,14186840
a_00328,a_001081,242080
a_00328,a_001193,3342880
a_00328,a_001273,19076040
a_00328,a_001124,7849240
a_00328,a_001225,1901960
a_00328,a_001178,2809080
a_00328,a_00980,960160
a_00328,a_001117,1721760
a_00328,a_001173,2105960
a_00328,a_001136,269960
a_00328,a_001100,1038360
a_00328,a_00753,34000
a_00328,a_001264,10157160
a_00328,n_001277,104336480
a_00328,a_001281,145195640
a_00328,a_001280,157379200
a_00337,a_00148,148480
a_00337,a_00203,133120
a_00337,a_00149,484864
a_00337,a_00668,6172672
a_00360,a_00668,2555872
a_00361,a_00954,1982400
a_00373,n_00153,5253816
a_00373,a_00454,1514922
a_00373,a_001271,20404014
a_00373,n_001232,91106568
a_00373,a_001129,79001862
a_00373,n_00991,11715748554
a_00373,n_00632,39015354
a_00387,n_001048,2218500
a_00387,n_00986,12385941702
a_00387,a_001130,12065682
a_00387,a_001278,129254247
a_00387,a_001173,4580463
a_00387,n_001277,226931844
a_00387,a_001191,4790481
a_00387,a_001247,13263672
a_00387,a_001051,1051569
a_00387,a_001139,6933552
a_00387,a_001281,315800517
a_00387,a_001270,20336250
a_00387,a_001125,18676812
a_00387,a_001238,4718010
a_00387,a_001198,52077069
a_00389,p_001216,37100
a_00389,a_001234,418824
a_00389,n_001256,244020
a_00389,a_001062,7560
a_00389,a_001281,5978644
a_00389,p_001258,85148
a_00389,n_001277,4296208
a_00389,p_001276,300720
a_00389,a_001264,418236
a_00389,p_001262,118832
a_00389,a_001280,6480320
a_00389,p_001279,5519220
a_00422,a_001273,9145278
a_00422,a_001281,69608498
a_00422,a_001264,4869462
a_00434,n_00182,611442
a_00434,n_00179,48165
a_00434,n_00180,483678
a_00434,n_00405,1068249
a_00434,n_00297,447174
a_00434,n_00349,389883
a_00434,n_00319,406107
a_00434,n_00184,93288
a_00434,n_00425,283413
a_00434,n_00408,1902264
a_00434,n_00411,1891617
a_00434,n_00183,126750
a_00434,n_00295,240825
a_00434,n_00181,102921
a_00434,n_00475,1019577
a_00434,n_00276,449202
a_00434,n_00296,402051
a_00434,n_00340,815763
a_00434,n_00503,682929
a_00434,a_00756,4575168
a_00434,n_00355,4147260
a_00434,n_00505,1103232
a_00447,n_001188,156270727
a_00448,a_001269,146265280
a_00448,a_001112,30278304
a_00448,n_001232,119984928
a_00448,a_001272,279713672
a_00448,a_001222,158910864
a_00448,a_001234,19265904
a_00448,a_00815,10242176
a_00448,n_00342,3494344
a_00452,n_00880,1461056
a_00454,a_001265,806925217
a_00454,a_001280,358500560
a_00454,n_001277,237672364
a_00454,a_001242,13016247
a_00454,a_001281,330747127
a_00454,a_001244,125594469
